id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"277","LNC","Lincoln National","reports","Financials","Multi-line Insurance","Radnor, Pennsylvania","1976-06-30","59558"
"278","LLTC","Linear Technology Corp.","reports","Information Technology","Semiconductors","Milpitas, California","0000-00-00","791907"
"279","LKQ","LKQ Corporation","reports","Consumer Discretionary","Distributors","Chicago, Illinois","2016-05-23","1065696"
"280","LMT","Lockheed Martin Corp.","reports","Industrials","Aerospace & Defense","Bethesda, Maryland","1984-07-31","936468"
"281","L","Loews Corp.","reports","Financials","Multi-Sector Holdings","New York, New York","0000-00-00","60086"
"282","LOW","Lowe's Cos.","reports","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","1984-02-29","60667"
"283","LYB","LyondellBasell","reports","Materials","Diversified Chemicals","Rotterdam, Netherlands","2012-09-05","1489393"
"284","MTB","M&T Bank Corp.","reports","Financials","Banks","Buffalo, New York","0000-00-00","36270"
"285","MAC","Macerich","reports","Real Estate","Retail REITs","Santa Monica, California","2013-05-09","912242"
"286","M","Macy's Inc.","reports","Consumer Discretionary","Department Stores","Cincinnati, Ohio","0000-00-00","794367"
"287","MNK","Mallinckrodt Plc","reports","Health Care","Pharmaceuticals","Dublin, Ireland","2014-08-19","1567892"
"288","MRO","Marathon Oil Corp.","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1991-05-01","101778"
"289","MPC","Marathon Petroleum","reports","Energy","Oil & Gas Refining & Marketing & Transportation","Findlay, Ohio","2011-07-01","1510295"
"290","MAR","Marriott Int'l.","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland","0000-00-00","1048286"
"291","MMC","Marsh & McLennan","reports","Financials","Insurance Brokers","New York, New York","1987-08-31","62709"
"292","MLM","Martin Marietta Materials","reports","Materials","Construction Materials","Raleigh, North Carolina","2014-07-02","916076"
